# Junction_angles, Frequency of Junction_angles 
80.0000,0.0015
80.0801,0.0015
80.1602,0.0015
80.2402,0.0015
80.3203,0.0015
80.4004,0.0016
80.4805,0.0016
80.5606,0.0016
80.6406,0.0016
80.7207,0.0016
80.8008,0.0016
80.8809,0.0017
80.9610,0.0017
81.0410,0.0017
81.1211,0.0017
81.2012,0.0017
81.2813,0.0018
81.3614,0.0018
81.4414,0.0018
81.5215,0.0018
81.6016,0.0018
81.6817,0.0019
81.7618,0.0019
81.8418,0.0019
81.9219,0.0019
82.0020,0.0019
82.0821,0.0020
82.1622,0.0020
82.2422,0.0020
82.3223,0.0020
82.4024,0.0020
82.4825,0.0021
82.5626,0.0021
82.6426,0.0021
82.7227,0.0021
82.8028,0.0021
82.8829,0.0022
82.9630,0.0022
83.0430,0.0022
83.1231,0.0022
83.2032,0.0023
83.2833,0.0023
83.3634,0.0023
83.4434,0.0023
83.5235,0.0023
83.6036,0.0024
83.6837,0.0024
83.7638,0.0024
83.8438,0.0024
83.9239,0.0025
84.0040,0.0025
84.0841,0.0025
84.1642,0.0025
84.2442,0.0026
84.3243,0.0026
84.4044,0.0026
84.4845,0.0026
84.5646,0.0027
84.6446,0.0027
84.7247,0.0027
84.8048,0.0028
84.8849,0.0028
84.9650,0.0028
85.0450,0.0028
85.1251,0.0029
85.2052,0.0029
85.2853,0.0029
85.3654,0.0029
85.4454,0.0030
85.5255,0.0030
85.6056,0.0030
85.6857,0.0031
85.7658,0.0031
85.8458,0.0031
85.9259,0.0031
86.0060,0.0032
86.0861,0.0032
86.1662,0.0032
86.2462,0.0033
86.3263,0.0033
86.4064,0.0033
86.4865,0.0034
86.5666,0.0034
86.6466,0.0034
86.7267,0.0035
86.8068,0.0035
86.8869,0.0035
86.9670,0.0036
87.0470,0.0036
87.1271,0.0036
87.2072,0.0037
87.2873,0.0037
87.3674,0.0037
87.4474,0.0038
87.5275,0.0038
87.6076,0.0038
87.6877,0.0039
87.7678,0.0039
87.8478,0.0039
87.9279,0.0040
88.0080,0.0040
88.0881,0.0040
88.1682,0.0041
88.2482,0.0041
88.3283,0.0041
88.4084,0.0042
88.4885,0.0042
88.5686,0.0042
88.6486,0.0043
88.7287,0.0043
88.8088,0.0044
88.8889,0.0044
88.9690,0.0044
89.0490,0.0045
89.1291,0.0045
89.2092,0.0046
89.2893,0.0046
89.3694,0.0046
89.4494,0.0047
89.5295,0.0047
89.6096,0.0047
89.6897,0.0048
89.7698,0.0048
89.8498,0.0049
89.9299,0.0049
90.0100,0.0050
90.0901,0.0050
90.1702,0.0050
90.2503,0.0051
90.3303,0.0051
90.4104,0.0052
90.4905,0.0052
90.5706,0.0052
90.6507,0.0053
90.7307,0.0053
90.8108,0.0054
90.8909,0.0054
90.9710,0.0055
91.0511,0.0055
91.1311,0.0055
91.2112,0.0056
91.2913,0.0056
91.3714,0.0057
91.4515,0.0057
91.5315,0.0058
91.6116,0.0058
91.6917,0.0059
91.7718,0.0059
91.8519,0.0060
91.9319,0.0060
92.0120,0.0061
92.0921,0.0061
92.1722,0.0061
92.2523,0.0062
92.3323,0.0062
92.4124,0.0063
92.4925,0.0063
92.5726,0.0064
92.6527,0.0064
92.7327,0.0065
92.8128,0.0065
92.8929,0.0066
92.9730,0.0066
93.0531,0.0067
93.1331,0.0067
93.2132,0.0068
93.2933,0.0068
93.3734,0.0069
93.4535,0.0069
93.5335,0.0070
93.6136,0.0070
93.6937,0.0071
93.7738,0.0071
93.8539,0.0072
93.9339,0.0072
94.0140,0.0073
94.0941,0.0073
94.1742,0.0074
94.2543,0.0075
94.3343,0.0075
94.4144,0.0076
94.4945,0.0076
94.5746,0.0077
94.6547,0.0077
94.7347,0.0078
94.8148,0.0078
94.8949,0.0079
94.9750,0.0079
95.0551,0.0080
95.1351,0.0081
95.2152,0.0081
95.2953,0.0082
95.3754,0.0082
95.4555,0.0083
95.5355,0.0083
95.6156,0.0084
95.6957,0.0084
95.7758,0.0085
95.8559,0.0086
95.9359,0.0086
96.0160,0.0087
96.0961,0.0087
96.1762,0.0088
96.2563,0.0088
96.3363,0.0089
96.4164,0.0090
96.4965,0.0090
96.5766,0.0091
96.6567,0.0091
96.7367,0.0092
96.8168,0.0093
96.8969,0.0093
96.9770,0.0094
97.0571,0.0094
97.1371,0.0095
97.2172,0.0096
97.2973,0.0096
97.3774,0.0097
97.4575,0.0097
97.5375,0.0098
97.6176,0.0099
97.6977,0.0099
97.7778,0.0100
97.8579,0.0100
97.9379,0.0101
98.0180,0.0102
98.0981,0.0102
98.1782,0.0103
98.2583,0.0104
98.3383,0.0104
98.4184,0.0105
98.4985,0.0105
98.5786,0.0106
98.6587,0.0107
98.7387,0.0107
98.8188,0.0108
98.8989,0.0109
98.9790,0.0109
99.0591,0.0110
99.1391,0.0111
99.2192,0.0111
99.2993,0.0112
99.3794,0.0112
99.4595,0.0113
99.5395,0.0114
99.6196,0.0114
99.6997,0.0115
99.7798,0.0116
99.8599,0.0116
99.9399,0.0117
100.0200,0.0118
100.1001,0.0118
100.1802,0.0119
100.2603,0.0120
100.3403,0.0120
100.4204,0.0121
100.5005,0.0122
100.5806,0.0122
100.6607,0.0123
100.7407,0.0124
100.8208,0.0124
100.9009,0.0125
100.9810,0.0126
101.0611,0.0126
101.1411,0.0127
101.2212,0.0127
101.3013,0.0128
101.3814,0.0129
101.4615,0.0129
101.5415,0.0130
101.6216,0.0131
101.7017,0.0131
101.7818,0.0132
101.8619,0.0133
101.9419,0.0133
102.0220,0.0134
102.1021,0.0135
102.1822,0.0135
102.2623,0.0136
102.3423,0.0137
102.4224,0.0138
102.5025,0.0138
102.5826,0.0139
102.6627,0.0140
102.7427,0.0140
102.8228,0.0141
102.9029,0.0142
102.9830,0.0142
103.0631,0.0143
103.1431,0.0144
103.2232,0.0144
103.3033,0.0145
103.3834,0.0146
103.4635,0.0146
103.5435,0.0147
103.6236,0.0148
103.7037,0.0148
103.7838,0.0149
103.8639,0.0150
103.9439,0.0150
104.0240,0.0151
104.1041,0.0152
104.1842,0.0152
104.2643,0.0153
104.3443,0.0154
104.4244,0.0154
104.5045,0.0155
104.5846,0.0156
104.6647,0.0156
104.7447,0.0157
104.8248,0.0158
104.9049,0.0158
104.9850,0.0159
105.0651,0.0160
105.1451,0.0160
105.2252,0.0161
105.3053,0.0162
105.3854,0.0162
105.4655,0.0163
105.5455,0.0163
105.6256,0.0164
105.7057,0.0165
105.7858,0.0165
105.8659,0.0166
105.9459,0.0167
106.0260,0.0167
106.1061,0.0168
106.1862,0.0169
106.2663,0.0169
106.3463,0.0170
106.4264,0.0171
106.5065,0.0171
106.5866,0.0172
106.6667,0.0173
106.7467,0.0173
106.8268,0.0174
106.9069,0.0174
106.9870,0.0175
107.0671,0.0176
107.1471,0.0176
107.2272,0.0177
107.3073,0.0178
107.3874,0.0178
107.4675,0.0179
107.5475,0.0179
107.6276,0.0180
107.7077,0.0181
107.7878,0.0181
107.8679,0.0182
107.9479,0.0183
108.0280,0.0183
108.1081,0.0184
108.1882,0.0184
108.2683,0.0185
108.3483,0.0186
108.4284,0.0186
108.5085,0.0187
108.5886,0.0187
108.6687,0.0188
108.7487,0.0189
108.8288,0.0189
108.9089,0.0190
108.9890,0.0190
109.0691,0.0191
109.1491,0.0191
109.2292,0.0192
109.3093,0.0193
109.3894,0.0193
109.4695,0.0194
109.5495,0.0194
109.6296,0.0195
109.7097,0.0195
109.7898,0.0196
109.8699,0.0196
109.9499,0.0197
110.0300,0.0198
110.1101,0.0198
110.1902,0.0199
110.2703,0.0199
110.3504,0.0200
110.4304,0.0200
110.5105,0.0201
110.5906,0.0201
110.6707,0.0202
110.7508,0.0202
110.8308,0.0203
110.9109,0.0203
110.9910,0.0204
111.0711,0.0204
111.1512,0.0205
111.2312,0.0205
111.3113,0.0206
111.3914,0.0206
111.4715,0.0207
111.5516,0.0207
111.6316,0.0208
111.7117,0.0208
111.7918,0.0209
111.8719,0.0209
111.9520,0.0210
112.0320,0.0210
112.1121,0.0211
112.1922,0.0211
112.2723,0.0212
112.3524,0.0212
112.4324,0.0213
112.5125,0.0213
112.5926,0.0213
112.6727,0.0214
112.7528,0.0214
112.8328,0.0215
112.9129,0.0215
112.9930,0.0216
113.0731,0.0216
113.1532,0.0216
113.2332,0.0217
113.3133,0.0217
113.3934,0.0218
113.4735,0.0218
113.5536,0.0218
113.6336,0.0219
113.7137,0.0219
113.7938,0.0220
113.8739,0.0220
113.9540,0.0220
114.0340,0.0221
114.1141,0.0221
114.1942,0.0221
114.2743,0.0222
114.3544,0.0222
114.4344,0.0222
114.5145,0.0223
114.5946,0.0223
114.6747,0.0223
114.7548,0.0224
114.8348,0.0224
114.9149,0.0224
114.9950,0.0225
115.0751,0.0225
115.1552,0.0225
115.2352,0.0226
115.3153,0.0226
115.3954,0.0226
115.4755,0.0227
115.5556,0.0227
115.6356,0.0227
115.7157,0.0227
115.7958,0.0228
115.8759,0.0228
115.9560,0.0228
116.0360,0.0228
116.1161,0.0229
116.1962,0.0229
116.2763,0.0229
116.3564,0.0229
116.4364,0.0230
116.5165,0.0230
116.5966,0.0230
116.6767,0.0230
116.7568,0.0230
116.8368,0.0231
116.9169,0.0231
116.9970,0.0231
117.0771,0.0231
117.1572,0.0231
117.2372,0.0232
117.3173,0.0232
117.3974,0.0232
117.4775,0.0232
117.5576,0.0232
117.6376,0.0232
117.7177,0.0233
117.7978,0.0233
117.8779,0.0233
117.9580,0.0233
118.0380,0.0233
118.1181,0.0233
118.1982,0.0233
118.2783,0.0233
118.3584,0.0234
118.4384,0.0234
118.5185,0.0234
118.5986,0.0234
118.6787,0.0234
118.7588,0.0234
118.8388,0.0234
118.9189,0.0234
118.9990,0.0234
119.0791,0.0234
119.1592,0.0234
119.2392,0.0234
119.3193,0.0234
119.3994,0.0235
119.4795,0.0235
119.5596,0.0235
119.6396,0.0235
119.7197,0.0235
119.7998,0.0235
119.8799,0.0235
119.9600,0.0235
120.0400,0.0235
120.1201,0.0235
120.2002,0.0235
120.2803,0.0235
120.3604,0.0235
120.4404,0.0235
120.5205,0.0235
120.6006,0.0235
120.6807,0.0234
120.7608,0.0234
120.8408,0.0234
120.9209,0.0234
121.0010,0.0234
121.0811,0.0234
121.1612,0.0234
121.2412,0.0234
121.3213,0.0234
121.4014,0.0234
121.4815,0.0234
121.5616,0.0234
121.6416,0.0234
121.7217,0.0233
121.8018,0.0233
121.8819,0.0233
121.9620,0.0233
122.0420,0.0233
122.1221,0.0233
122.2022,0.0233
122.2823,0.0233
122.3624,0.0232
122.4424,0.0232
122.5225,0.0232
122.6026,0.0232
122.6827,0.0232
122.7628,0.0232
122.8428,0.0231
122.9229,0.0231
123.0030,0.0231
123.0831,0.0231
123.1632,0.0231
123.2432,0.0230
123.3233,0.0230
123.4034,0.0230
123.4835,0.0230
123.5636,0.0230
123.6436,0.0229
123.7237,0.0229
123.8038,0.0229
123.8839,0.0229
123.9640,0.0228
124.0440,0.0228
124.1241,0.0228
124.2042,0.0228
124.2843,0.0227
124.3644,0.0227
124.4444,0.0227
124.5245,0.0227
124.6046,0.0226
124.6847,0.0226
124.7648,0.0226
124.8448,0.0225
124.9249,0.0225
125.0050,0.0225
125.0851,0.0224
125.1652,0.0224
125.2452,0.0224
125.3253,0.0223
125.4054,0.0223
125.4855,0.0223
125.5656,0.0222
125.6456,0.0222
125.7257,0.0222
125.8058,0.0221
125.8859,0.0221
125.9660,0.0221
126.0460,0.0220
126.1261,0.0220
126.2062,0.0220
126.2863,0.0219
126.3664,0.0219
126.4464,0.0218
126.5265,0.0218
126.6066,0.0218
126.6867,0.0217
126.7668,0.0217
126.8468,0.0216
126.9269,0.0216
127.0070,0.0216
127.0871,0.0215
127.1672,0.0215
127.2472,0.0214
127.3273,0.0214
127.4074,0.0213
127.4875,0.0213
127.5676,0.0213
127.6476,0.0212
127.7277,0.0212
127.8078,0.0211
127.8879,0.0211
127.9680,0.0210
128.0480,0.0210
128.1281,0.0209
128.2082,0.0209
128.2883,0.0208
128.3684,0.0208
128.4484,0.0207
128.5285,0.0207
128.6086,0.0206
128.6887,0.0206
128.7688,0.0205
128.8488,0.0205
128.9289,0.0204
129.0090,0.0204
129.0891,0.0203
129.1692,0.0203
129.2492,0.0202
129.3293,0.0202
129.4094,0.0201
129.4895,0.0201
129.5696,0.0200
129.6496,0.0200
129.7297,0.0199
129.8098,0.0199
129.8899,0.0198
129.9700,0.0198
130.0501,0.0197
130.1301,0.0196
130.2102,0.0196
130.2903,0.0195
130.3704,0.0195
130.4505,0.0194
130.5305,0.0194
130.6106,0.0193
130.6907,0.0193
130.7708,0.0192
130.8509,0.0191
130.9309,0.0191
131.0110,0.0190
131.0911,0.0190
131.1712,0.0189
131.2513,0.0189
131.3313,0.0188
131.4114,0.0187
131.4915,0.0187
131.5716,0.0186
131.6517,0.0186
131.7317,0.0185
131.8118,0.0184
131.8919,0.0184
131.9720,0.0183
132.0521,0.0183
132.1321,0.0182
132.2122,0.0181
132.2923,0.0181
132.3724,0.0180
132.4525,0.0179
132.5325,0.0179
132.6126,0.0178
132.6927,0.0178
132.7728,0.0177
132.8529,0.0176
132.9329,0.0176
133.0130,0.0175
133.0931,0.0174
133.1732,0.0174
133.2533,0.0173
133.3333,0.0173
133.4134,0.0172
133.4935,0.0171
133.5736,0.0171
133.6537,0.0170
133.7337,0.0169
133.8138,0.0169
133.8939,0.0168
133.9740,0.0167
134.0541,0.0167
134.1341,0.0166
134.2142,0.0165
134.2943,0.0165
134.3744,0.0164
134.4545,0.0163
134.5345,0.0163
134.6146,0.0162
134.6947,0.0162
134.7748,0.0161
134.8549,0.0160
134.9349,0.0160
135.0150,0.0159
135.0951,0.0158
135.1752,0.0158
135.2553,0.0157
135.3353,0.0156
135.4154,0.0156
135.4955,0.0155
135.5756,0.0154
135.6557,0.0154
135.7357,0.0153
135.8158,0.0152
135.8959,0.0152
135.9760,0.0151
136.0561,0.0150
136.1361,0.0150
136.2162,0.0149
136.2963,0.0148
136.3764,0.0148
136.4565,0.0147
136.5365,0.0146
136.6166,0.0146
136.6967,0.0145
136.7768,0.0144
136.8569,0.0144
136.9369,0.0143
137.0170,0.0142
137.0971,0.0142
137.1772,0.0141
137.2573,0.0140
137.3373,0.0140
137.4174,0.0139
137.4975,0.0138
137.5776,0.0138
137.6577,0.0137
137.7377,0.0136
137.8178,0.0135
137.8979,0.0135
137.9780,0.0134
138.0581,0.0133
138.1381,0.0133
138.2182,0.0132
138.2983,0.0131
138.3784,0.0131
138.4585,0.0130
138.5385,0.0129
138.6186,0.0129
138.6987,0.0128
138.7788,0.0127
138.8589,0.0127
138.9389,0.0126
139.0190,0.0126
139.0991,0.0125
139.1792,0.0124
139.2593,0.0124
139.3393,0.0123
139.4194,0.0122
139.4995,0.0122
139.5796,0.0121
139.6597,0.0120
139.7397,0.0120
139.8198,0.0119
139.8999,0.0118
139.9800,0.0118
140.0601,0.0117
140.1401,0.0116
140.2202,0.0116
140.3003,0.0115
140.3804,0.0114
140.4605,0.0114
140.5405,0.0113
140.6206,0.0112
140.7007,0.0112
140.7808,0.0111
140.8609,0.0111
140.9409,0.0110
141.0210,0.0109
141.1011,0.0109
141.1812,0.0108
141.2613,0.0107
141.3413,0.0107
141.4214,0.0106
141.5015,0.0105
141.5816,0.0105
141.6617,0.0104
141.7417,0.0104
141.8218,0.0103
141.9019,0.0102
141.9820,0.0102
142.0621,0.0101
142.1421,0.0100
142.2222,0.0100
142.3023,0.0099
142.3824,0.0099
142.4625,0.0098
142.5425,0.0097
142.6226,0.0097
142.7027,0.0096
142.7828,0.0096
142.8629,0.0095
142.9429,0.0094
143.0230,0.0094
143.1031,0.0093
143.1832,0.0093
143.2633,0.0092
143.3433,0.0091
143.4234,0.0091
143.5035,0.0090
143.5836,0.0090
143.6637,0.0089
143.7437,0.0088
143.8238,0.0088
143.9039,0.0087
143.9840,0.0087
144.0641,0.0086
144.1441,0.0086
144.2242,0.0085
144.3043,0.0084
144.3844,0.0084
144.4645,0.0083
144.5445,0.0083
144.6246,0.0082
144.7047,0.0082
144.7848,0.0081
144.8649,0.0081
144.9449,0.0080
145.0250,0.0079
145.1051,0.0079
145.1852,0.0078
