# Grain Sizes, Frequency of Grain Sizes 
0.0000,0.0000
0.0100,0.0000
0.0200,0.0000
0.0300,0.0000
0.0400,0.0000
0.0501,0.0000
0.0601,0.0000
0.0701,0.0000
0.0801,0.0000
0.0901,0.0000
0.1001,0.0000
0.1101,0.0000
0.1201,0.0000
0.1301,0.0000
0.1401,0.0000
0.1502,0.0000
0.1602,0.0000
0.1702,0.0000
0.1802,0.0000
0.1902,0.0000
0.2002,0.0000
0.2102,0.0000
0.2202,0.0000
0.2302,0.0000
0.2402,0.0000
0.2503,0.0000
0.2603,0.0000
0.2703,0.0000
0.2803,0.0000
0.2903,0.0000
0.3003,0.0000
0.3103,0.0000
0.3203,0.0000
0.3303,0.0000
0.3403,0.0000
0.3504,0.0000
0.3604,0.0000
0.3704,0.0000
0.3804,0.0000
0.3904,0.0000
0.4004,0.0000
0.4104,0.0000
0.4204,0.0000
0.4304,0.0000
0.4404,0.0000
0.4505,0.0000
0.4605,0.0000
0.4705,0.0000
0.4805,0.0000
0.4905,0.0000
0.5005,0.0000
0.5105,0.0000
0.5205,0.0000
0.5305,0.0000
0.5405,0.0000
0.5506,0.0000
0.5606,0.0000
0.5706,0.0000
0.5806,0.0000
0.5906,0.0000
0.6006,0.0000
0.6106,0.0000
0.6206,0.0000
0.6306,0.0000
0.6406,0.0000
0.6507,0.0000
0.6607,0.0000
0.6707,0.0000
0.6807,0.0000
0.6907,0.0000
0.7007,0.0000
0.7107,0.0000
0.7207,0.0000
0.7307,0.0000
0.7407,0.0000
0.7508,0.0000
0.7608,0.0000
0.7708,0.0000
0.7808,0.0000
0.7908,0.0000
0.8008,0.0000
0.8108,0.0000
0.8208,0.0000
0.8308,0.0000
0.8408,0.0000
0.8509,0.0000
0.8609,0.0000
0.8709,0.0000
0.8809,0.0000
0.8909,0.0000
0.9009,0.0000
0.9109,0.0000
0.9209,0.0000
0.9309,0.0000
0.9409,0.0000
0.9510,0.0000
0.9610,0.0000
0.9710,0.0000
0.9810,0.0000
0.9910,0.0000
1.0010,0.0000
1.0110,0.0004
1.0210,0.0047
1.0310,0.0159
1.0410,0.0341
1.0511,0.0583
1.0611,0.0869
1.0711,0.1185
1.0811,0.1520
1.0911,0.1863
1.1011,0.2207
1.1111,0.2546
1.1211,0.2875
1.1311,0.3193
1.1411,0.3496
1.1512,0.3784
1.1612,0.4055
1.1712,0.4310
1.1812,0.4548
1.1912,0.4769
1.2012,0.4974
1.2112,0.5163
1.2212,0.5337
1.2312,0.5496
1.2412,0.5641
1.2513,0.5773
1.2613,0.5893
1.2713,0.6001
1.2813,0.6097
1.2913,0.6183
1.3013,0.6259
1.3113,0.6326
1.3213,0.6384
1.3313,0.6434
1.3413,0.6477
1.3514,0.6512
1.3614,0.6540
1.3714,0.6563
1.3814,0.6579
1.3914,0.6590
1.4014,0.6596
1.4114,0.6598
1.4214,0.6595
1.4314,0.6588
1.4414,0.6577
1.4515,0.6563
1.4615,0.6545
1.4715,0.6525
1.4815,0.6501
1.4915,0.6476
1.5015,0.6447
1.5115,0.6417
1.5215,0.6385
1.5315,0.6351
1.5415,0.6315
1.5516,0.6278
1.5616,0.6239
1.5716,0.6199
1.5816,0.6158
1.5916,0.6116
1.6016,0.6073
1.6116,0.6029
1.6216,0.5984
1.6316,0.5939
1.6416,0.5893
1.6517,0.5846
1.6617,0.5799
1.6717,0.5752
1.6817,0.5704
1.6917,0.5656
1.7017,0.5608
1.7117,0.5560
1.7217,0.5511
1.7317,0.5463
1.7417,0.5414
1.7518,0.5365
1.7618,0.5317
1.7718,0.5268
1.7818,0.5220
1.7918,0.5171
1.8018,0.5123
1.8118,0.5075
1.8218,0.5027
1.8318,0.4980
1.8418,0.4932
1.8519,0.4885
1.8619,0.4838
1.8719,0.4791
1.8819,0.4745
1.8919,0.4699
1.9019,0.4653
1.9119,0.4607
1.9219,0.4562
1.9319,0.4517
1.9419,0.4473
1.9520,0.4429
1.9620,0.4385
1.9720,0.4341
1.9820,0.4298
1.9920,0.4256
2.0020,0.4213
2.0120,0.4171
2.0220,0.4130
2.0320,0.4088
2.0420,0.4047
2.0521,0.4007
2.0621,0.3967
2.0721,0.3927
2.0821,0.3888
2.0921,0.3849
2.1021,0.3810
2.1121,0.3772
2.1221,0.3734
2.1321,0.3697
2.1421,0.3660
2.1522,0.3623
2.1622,0.3587
2.1722,0.3551
2.1822,0.3515
2.1922,0.3480
2.2022,0.3446
2.2122,0.3411
2.2222,0.3377
2.2322,0.3343
2.2422,0.3310
2.2523,0.3277
2.2623,0.3244
2.2723,0.3212
2.2823,0.3180
2.2923,0.3149
2.3023,0.3117
2.3123,0.3087
2.3223,0.3056
2.3323,0.3026
2.3423,0.2996
2.3524,0.2966
2.3624,0.2937
2.3724,0.2908
2.3824,0.2880
2.3924,0.2851
2.4024,0.2824
2.4124,0.2796
2.4224,0.2769
2.4324,0.2742
2.4424,0.2715
2.4525,0.2688
2.4625,0.2662
2.4725,0.2636
2.4825,0.2611
2.4925,0.2586
2.5025,0.2561
2.5125,0.2536
2.5225,0.2512
2.5325,0.2487
2.5425,0.2464
2.5526,0.2440
2.5626,0.2417
2.5726,0.2393
2.5826,0.2371
2.5926,0.2348
2.6026,0.2326
2.6126,0.2304
2.6226,0.2282
2.6326,0.2260
2.6426,0.2239
2.6527,0.2218
2.6627,0.2197
2.6727,0.2176
2.6827,0.2156
2.6927,0.2136
2.7027,0.2116
2.7127,0.2096
2.7227,0.2076
2.7327,0.2057
2.7427,0.2038
2.7528,0.2019
2.7628,0.2001
2.7728,0.1982
2.7828,0.1964
2.7928,0.1946
2.8028,0.1928
2.8128,0.1910
2.8228,0.1893
2.8328,0.1875
2.8428,0.1858
2.8529,0.1841
2.8629,0.1825
2.8729,0.1808
2.8829,0.1792
2.8929,0.1776
2.9029,0.1760
2.9129,0.1744
2.9229,0.1728
2.9329,0.1713
2.9429,0.1697
2.9530,0.1682
2.9630,0.1667
2.9730,0.1652
2.9830,0.1638
2.9930,0.1623
3.0030,0.1609
3.0130,0.1594
3.0230,0.1580
3.0330,0.1566
3.0430,0.1553
3.0531,0.1539
3.0631,0.1526
3.0731,0.1512
3.0831,0.1499
3.0931,0.1486
3.1031,0.1473
3.1131,0.1460
3.1231,0.1448
3.1331,0.1435
3.1431,0.1423
3.1532,0.1411
3.1632,0.1398
3.1732,0.1386
3.1832,0.1375
3.1932,0.1363
3.2032,0.1351
3.2132,0.1340
3.2232,0.1328
3.2332,0.1317
3.2432,0.1306
3.2533,0.1295
3.2633,0.1284
3.2733,0.1273
3.2833,0.1262
3.2933,0.1252
3.3033,0.1241
3.3133,0.1231
3.3233,0.1221
3.3333,0.1210
3.3433,0.1200
3.3534,0.1190
3.3634,0.1181
3.3734,0.1171
3.3834,0.1161
3.3934,0.1152
3.4034,0.1142
3.4134,0.1133
3.4234,0.1123
3.4334,0.1114
3.4434,0.1105
3.4535,0.1096
3.4635,0.1087
3.4735,0.1078
3.4835,0.1070
3.4935,0.1061
3.5035,0.1052
3.5135,0.1044
3.5235,0.1035
3.5335,0.1027
3.5435,0.1019
3.5536,0.1011
3.5636,0.1003
3.5736,0.0995
3.5836,0.0987
3.5936,0.0979
3.6036,0.0971
3.6136,0.0963
3.6236,0.0956
3.6336,0.0948
3.6436,0.0941
3.6537,0.0933
3.6637,0.0926
3.6737,0.0919
3.6837,0.0912
3.6937,0.0904
3.7037,0.0897
3.7137,0.0890
3.7237,0.0883
3.7337,0.0877
3.7437,0.0870
3.7538,0.0863
3.7638,0.0856
3.7738,0.0850
